Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-November-2020,930.50,937.65,920.50,929.20,929.361183836688741018,188303,10295,175001499.00,80366,42.68,17.15,-1.30
30-October-2020,941.15,947.15,924.15,929.60,934.158277083529886013,233186,11248,217832632.00,56472,24.22,23.00,-11.55
29-October-2020,953.00,958.95,927.00,934.60,940.005057173416213731,526381,29196,494800802.00,164876,31.32,31.95,-18.40
28-October-2020,985.00,994.85,974.15,983.65,981.797144093150094825,547847,23073,537874620.00,341198,62.28,20.70,-1.35
27-October-2020,961.00,986.40,955.70,982.45,972.992894342639377216,257682,13225,250722755.00,96832,37.58,30.70,21.45
26-October-2020,950.00,959.25,943.15,951.65,950.337917941792863969,228082,8471,216754973.00,92063,40.36,16.10,1.65
23-October-2020,940.00,948.50,927.65,941.20,940.274273474931713360,133994,5828,125991111.00,45857,34.22,20.85,1.20
22-October-2020,923.00,938.95,921.05,936.25,933.419312291034017361,326010,13719,304304030.00,166398,51.04,17.90,13.25
21-October-2020,925.90,931.00,909.00,924.65,922.732403172918226830,275078,12416,253823384.00,99061,36.01,22.00,-1.25
20-October-2020,915.15,935.60,912.75,917.30,925.254094292803970223,666965,31631,617112097.00,252616,37.88,22.85,2.15
19-October-2020,900.00,905.35,884.25,903.00,894.800524425072892099,200982,10270,179838799.00,54362,27.05,21.10,3.00
16-October-2020,890.25,903.00,889.50,894.20,895.021233062790776649,117788,6382,105422761.00,31791,26.99,13.50,3.95
15-October-2020,918.00,918.95,887.00,888.95,903.432895757837561096,125007,6119,112935436.00,47300,37.84,31.95,-29.05
14-October-2020,896.50,916.85,887.45,915.00,905.239463051685690945,226465,11929,205005055.00,109603,48.40,29.40,18.50
13-October-2020,906.55,915.50,889.35,896.50,901.957576812747682767,120618,5288,108792319.00,36656,30.39,26.15,-10.05
12-October-2020,915.00,925.80,902.35,905.50,916.439752074225095670,183442,7328,168113541.00,42668,23.26,23.45,-9.50
9-October-2020,887.80,914.70,887.00,908.35,905.834065137544343850,286962,10532,259939955.00,55905,19.48,27.70,20.55
8-October-2020,890.00,894.00,880.00,881.00,884.383249014822075880,152003,6084,134428907.00,74194,48.81,14.00,-9.00
7-October-2020,893.10,895.00,876.25,887.70,883.150615736475078224,213809,15151,188825550.00,94303,44.11,18.75,-5.40
6-October-2020,901.00,904.65,888.70,892.70,895.995542488619119878,73808,3992,66131639.00,33270,45.08,15.95,-8.30
5-October-2020,908.00,908.50,895.05,896.85,900.623388922033769898,105597,8023,95103128.00,41522,39.32,13.45,-11.15
1-October-2020,905.10,913.30,901.25,902.95,907.322374157327265380,141069,8039,127995060.00,57797,40.97,12.05,-2.15
30-September-2020,897.40,905.00,884.30,902.45,895.258595342516523565,80945,4035,72466707.00,26047,32.18,20.70,5.05
29-September-2020,907.05,912.80,892.20,895.15,899.811654838823570949,169938,9814,152912193.00,60217,35.43,20.60,-11.90
28-September-2020,899.95,917.00,893.00,902.90,907.618883807163914187,227613,13419,206585857.00,94229,41.40,24.00,2.95
25-September-2020,864.00,895.00,852.00,889.30,874.100721393640057419,164404,7629,143705655.00,42228,25.69,43.00,25.30
24-September-2020,857.80,859.50,842.50,850.35,850.749604753014120657,517398,21796,440176144.00,145073,28.04,17.00,-7.45
23-September-2020,869.80,873.85,855.00,860.75,862.684805179789571048,216225,13593,186534022.00,73914,34.18,18.85,-9.05
22-September-2020,886.90,888.00,852.00,857.05,864.140667276156970756,432055,31309,373356296.00,196374,45.45,36.00,-29.85
21-September-2020,900.20,904.30,874.55,881.90,887.900414605323772708,199708,11510,177320816.00,98429,49.29,29.75,-18.30
18-September-2020,910.00,914.00,896.60,900.20,904.740457870837537840,158560,8935,143455647.00,82009,51.72,17.40,-9.80
17-September-2020,918.80,918.80,905.00,906.30,910.915032679738562091,233784,15195,212957360.00,108079,46.23,13.80,-12.50
16-September-2020,912.20,923.50,912.20,921.95,918.211905688273286125,128510,5793,117999412.00,42298,32.91,11.30,9.75
15-September-2020,908.30,914.70,900.00,909.55,905.828754825872794850,277929,15809,251756080.00,107177,38.56,14.70,1.25
14-September-2020,924.00,924.00,901.00,902.30,909.819625454292923447,302393,22420,275123086.00,175383,58.00,23.00,-21.70
11-September-2020,923.80,923.80,912.20,917.65,916.003127309944845624,87935,3893,80548735.00,33902,38.55,11.60,-6.15
10-September-2020,918.00,923.00,912.25,920.65,917.583195029707001968,162083,8945,148724637.00,57552,35.51,10.75,2.65
9-September-2020,913.70,927.80,901.60,909.55,913.145081253077768097,158394,8268,144636702.00,58185,36.73,26.20,-4.15
8-September-2020,933.00,940.00,911.90,916.25,923.792181182384438859,219624,14049,202886934.00,111284,50.67,28.10,-16.75
7-September-2020,945.20,950.25,916.10,932.20,931.747733876269856418,235755,14109,219664187.00,75723,32.12,34.15,-13.00
4-September-2020,945.00,956.05,940.10,942.90,947.922301294692617679,116630,6641,110556178.00,56547,48.48,15.95,-2.10
3-September-2020,958.50,970.85,954.10,961.05,960.934865172806684390,163246,8823,156868773.00,50181,30.74,16.75,2.55
2-September-2020,959.35,959.85,948.00,955.75,953.176744503968762549,117039,7636,111558853.00,39289,33.57,11.85,-3.60
1-September-2020,955.25,965.95,944.10,955.30,955.939521274255291063,227270,13861,217256375.00,68118,29.97,21.85,0.05
31-August-2020,986.00,995.00,941.20,945.30,962.513829476785981195,280994,13975,270460611.00,118417,42.14,53.80,-40.70
28-August-2020,989.00,1004.40,978.60,981.80,991.938071762660346141,237533,10045,235618026.00,64450,27.13,25.80,-7.20
27-August-2020,973.15,979.85,965.60,975.45,973.192005443717143493,166063,7324,161611184.00,49060,29.54,14.25,2.30
26-August-2020,984.00,987.00,965.20,968.95,971.145120377861844263,182924,12697,177645750.00,94337,51.57,21.80,-15.05
25-August-2020,992.50,999.00,978.10,980.60,988.513599958394008737,153824,9532,152057116.00,69591,45.24,20.90,-11.90
24-August-2020,996.00,1000.00,990.25,991.85,995.622103992593721069,85333,3635,84959421.00,36932,43.28,9.75,-4.15
21-August-2020,1003.00,1008.00,991.75,994.05,998.716702535791148123,160305,8715,160099281.00,62600,39.05,16.25,-8.95
20-August-2020,995.95,1004.80,982.30,995.85,996.530143674524248822,150131,6661,149610067.00,44072,29.36,22.50,-0.10
19-August-2020,1016.05,1024.95,1005.20,1009.00,1015.041647450305029335,171295,7690,173871559.00,45421,26.52,19.75,-7.05
18-August-2020,1001.25,1008.00,995.20,1004.10,1001.448106213314929585,146347,5618,146558926.00,36217,24.75,12.80,2.85
17-August-2020,1002.30,1007.00,988.10,1000.70,999.505109120726630503,190248,7385,190153848.00,44249,23.26,18.90,-1.60
14-August-2020,997.00,1017.40,974.20,982.15,999.461826893031975835,537656,20326,537366648.00,104406,19.42,43.20,-14.85
13-August-2020,953.35,993.40,951.75,990.55,977.601020619228556937,352923,12774,345017885.00,128753,36.48,41.65,37.20
12-August-2020,960.60,960.60,945.00,949.65,950.530826954259210377,106076,4954,100828508.00,44948,42.37,15.60,-10.95
11-August-2020,967.25,979.35,957.85,961.65,966.627565217957992010,153447,7596,148326100.00,49571,32.30,21.50,-5.60
10-August-2020,926.00,970.00,925.00,959.70,956.459768369296524454,737467,38973,705357516.00,393193,53.32,45.00,33.70
7-August-2020,922.50,926.50,914.10,915.70,918.253957405356146842,127293,6301,116887301.00,41688,32.75,12.40,-6.80
6-August-2020,927.15,933.00,920.60,921.95,927.503834765302655210,123606,7437,114645039.00,57651,46.64,12.40,-5.20
5-August-2020,923.85,934.30,921.10,926.00,928.758633169114385112,85658,4430,79555607.00,27212,31.77,13.20,2.15
4-August-2020,917.00,930.20,916.35,923.80,924.658871823255384899,130086,5350,120285174.00,33400,25.68,13.85,6.80
3-August-2020,913.00,919.70,903.40,915.80,910.249387289292997324,106902,5154,97307480.00,29118,27.24,16.30,2.80
31-July-2020,911.10,922.60,907.00,913.35,913.609797604874290916,142790,8905,130454343.00,51941,36.38,15.60,2.25
30-July-2020,927.10,931.90,904.30,908.70,916.791392215973977473,184763,10627,169389128.00,72660,39.33,27.60,-18.40
29-July-2020,918.00,940.20,918.00,922.35,930.246910618419504069,220918,11043,205508287.00,66139,29.94,22.20,4.35
28-July-2020,907.10,917.00,899.50,913.00,909.461340621713127528,130253,6253,118460068.00,46094,35.39,17.50,5.90
27-July-2020,905.15,914.70,896.50,903.55,905.270692148893342889,232999,12681,210927166.00,74795,32.10,18.20,-1.60
24-July-2020,916.00,916.00,898.30,904.55,904.294966335363898685,255758,11401,231280672.00,103310,40.39,17.70,-11.45
23-July-2020,910.25,937.80,910.25,916.35,923.360105919332259172,454308,21935,419489883.00,126466,27.84,27.55,6.10
22-July-2020,940.00,940.00,910.20,920.95,923.052360780321073395,220012,9821,203082596.00,71568,32.53,29.80,-19.05
21-July-2020,928.60,942.00,921.00,937.80,933.551171579743008314,171990,7670,160561466.00,46947,27.30,21.00,9.20
20-July-2020,932.90,932.90,915.60,919.35,922.546017156374700320,125551,6081,115826575.00,45569,36.30,17.30,-13.55
17-July-2020,924.00,930.00,918.75,925.50,925.341361241260527506,68511,3908,63396062.00,23371,34.11,11.25,1.50
16-July-2020,915.00,923.75,898.00,921.15,912.096470588235294117,119850,6117,109314762.00,32660,27.25,25.75,6.15
15-July-2020,915.55,925.00,909.20,911.95,916.335033310581517193,208042,11483,190636173.00,68681,33.01,15.80,-3.60
14-July-2020,926.10,934.50,906.50,913.00,917.051486657344531060,238858,14956,219045084.00,94221,39.45,28.00,-13.10
13-July-2020,937.20,944.40,925.25,928.60,935.368776934778162051,425333,10640,397843208.00,268791,63.20,19.15,-8.60
10-July-2020,941.00,952.00,930.95,932.20,938.442107991317631637,401273,8829,376571480.00,254807,63.50,21.05,-8.80
9-July-2020,945.00,952.50,940.20,944.75,944.731584175931848182,146966,5688,138843422.00,42701,29.06,12.30,-0.25
8-July-2020,946.70,963.80,937.55,941.05,949.033425972713491662,197900,9173,187813715.00,53470,27.02,26.25,-5.65
7-July-2020,955.00,961.80,940.00,943.40,947.771801170877180117,163638,7369,155091482.00,55659,34.01,21.80,-11.60
6-July-2020,950.00,959.20,946.30,951.05,952.889827053861522006,247765,11737,236092748.00,97182,39.22,12.90,1.05
3-July-2020,945.00,955.00,942.00,944.50,948.500198179737804467,133717,6644,126830601.00,39733,29.71,13.00,-0.50
2-July-2020,937.00,950.70,925.75,940.65,939.210557594461589790,383648,13615,360326252.00,101140,26.36,24.95,3.65
1-July-2020,945.00,945.00,917.85,924.25,923.855869628742685682,280614,17596,259246891.00,103951,37.04,27.15,-20.75
30-June-2020,945.00,952.00,931.45,944.05,943.418933934708306569,213289,10340,201220881.00,50728,23.78,20.55,-0.95
29-June-2020,953.70,955.50,930.15,937.00,938.772836374156342492,314553,15482,295293812.00,81968,26.06,25.35,-16.70
26-June-2020,953.55,976.00,940.75,962.50,957.885650051716916133,350949,17041,336169011.00,91845,26.17,35.25,8.95
25-June-2020,950.00,964.30,935.05,943.15,949.590693852580692563,333457,16764,316647664.00,61158,18.34,29.25,-6.85
24-June-2020,980.00,989.80,952.55,955.65,969.107884766234277562,660362,31411,639962021.00,174720,26.46,37.25,-24.35
23-June-2020,912.75,970.20,908.60,967.85,949.360660460492125539,531084,22860,504190257.00,157925,29.74,61.60,55.10
22-June-2020,909.00,915.80,896.10,907.25,906.926999735009085402,211328,10429,191659069.00,52123,24.66,19.70,-1.75
